ID de Transmisión,Entidad,Nombre Transmisión,Propósito Transmisión,Tipo de Transmisión,Clasificación de Datos,Sistema de origen,Propietario Datos de Origen,Sistema de Destino,Propietario Datos de Destino,Formato de Datos,Protocolo de comunicaciòn,Frecuencia,Ventana de ejecuciòn,Volumen estimado,Dependencias,Riesgo de falla,Mecanismo de seguridad,Cifrado en trànsito,Cumplimiento Regulatorio,Aprobaciòn de Arquitectura,Propietario Tècnico,SLA,KPI de Calidad de Datos,Umbral de alerta,Documentaciòn
Identificador único de la transmisión o flujo de datos.,,Nombre descriptivo y claro de la transmisiòn,Breve descripción del objetivo de negocio que cumple la transmisión.,Clasificación del tipo de flujo.,Nivel de sensibilidad o criticidad de los datos transmitidos.,El sistema o aplicación que inicia o genera los datos.,Área de negocio responsable de la calidad y veracidad de los datos en origen.,El sistema o aplicación que consume/recibe los datos.,Área de negocio que utiliza los datos recibidos.,Estructura o protocolo de los datos en tránsito.,El método técnico usado para la transferencia.,Periodicidad con la que se ejecuta la transmisión.,Horario en el que la transmisión debe completarse.,Cantidad de datos (registros o tamaño) transmitidos por ciclo.,Otras transmisiones o procesos que deben completarse primero.,Evaluación del impacto de una interrupción en la transmisión.,Método de autenticación y autorización utilizado.,Indica si la transmisión está cifrada.,Leyes o normativas aplicables a los datos transmitidos.,Fecha y persona/área que aprobó el diseño técnico/seguridad.,Equipo o persona responsable del soporte operativo de primer nivel.,Porcentaje de tiempo que la transmisión debe estar operativa.,Métricas clave para medir la calidad de los datos al ser transmitidos/recibidos.,Límites para métricas que disparan una notificación.,Enlace al documento técnico/diagrama de flujo de la transmisión.
TRX-xxx-01,,Sincronización de Empleados de SAP a Salesforce,Mantener actualizados los datos de personal en el CRM para ventas.,"API/Servicio Web, Transferencia de Archivos (SFTP), Mensajería (Kafka), Base de Datos","Público, Confidencial, Sensible (PII/GDPR)",ERP (SAP ECC),Recursos Humanos,CRM (Salesforce),Ventas,"JSON, XML, CSV, Parquet","HTTPS/REST, SFTP, SOAP, JMS","Tiempo Real, Diaria, Cada 15 minutos, A Demanda",Diario a las 02:00h UTC-3,5.000 registros/día o 1 GB/semana,"Requiere la finalización de 'TRX_RRHH_DEP_002'
","Alto, Medio, Bajo","OAuth 2.0, API Key, Certificado SSL/TLS","Sí (TLS 1.2), No","GDPR, HIPAA, PCI-DSS, ISO 27001",2025-09-15 / Comité de Arquitectura,Equipo de Operaciones IT,99.9%,"Tasa de Éxito de Registros (%), Registros con Errores de Formato","Falla en más del 5% de los registros, Latencia > 5 segundos",http://wiki.corp/trx/001
XCOELSA0,COELSA,Recepciòn de cheques presentado por otros Bancos,Procesar los pagos de cheques presentados en otras entidades,XCOM,Confidencial,BBVAS03,Explotaciòn de Datos,Mainframe,Altamira,Secuencial,FTP,Diaria,Diario a partir de las 00:10 hrs.,"20,000 registros/día",Requiere la marca de BBVAS03 PRHP-OK-XCOELSA0,Bajo,,,,,Matías Miranda - Ariel Alice,,,,Ver de adjuntar job
ATMARCBU,BANELCO,TRANSFERENCIA A BANELCO,TRANSFERENCIAS INMEDIATAS,Connect Direct ,Confidencial,BBVAS03,Explotaciòn de Datos,Mainframe ,Banelco,,,,,,,,,,,,,,,,
ATMAUH01,BANELCO,,,Connect Direct ,Confidencial,BBVAS03,Explotaciòn de Datos,M,Banelco,EVENTUAL,,,,,,,,,,,,,,,
ATMAUH02,BANELCO,,,Connect Direct ,Confidencial,BBVAS03,Explotaciòn de Datos,,,,,,,,,,,,,,,,,,
ATMAUH03,BANELCO,,,Connect Direct ,Confidencial,BBVAS03,,,,,,,,,,,,,,,,,,,
ATMCER00,BANELCO,,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
ATMCPP00,BANELCO,,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
ATMFTP05,BANELCO,,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
ATMMAUER,BANELCO,,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
ATMMAUFN,BANELCO,,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
ATMMAUJU,BANELCO,,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
ATMMAU00,BANELCO,,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
ATMMAU01,BANELCO,,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
ATMMAU02,BANELCO,,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
ATMMAU03,BANELCO,,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
ATMMENS1,BANELCO,,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
ATMTB1B0,BANELCO,,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
ATMXCCA,BANELCO,,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
ATMXCCAF,BANELCO,,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
ATMXCCTE,BANELCO,,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
ATMXCOM4,BANELCO,,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
ATMXCOM5,BANELCO,,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
ATMXCOM6,BANELCO,,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
ATMXCOM8,BANELCO,,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
ATMXCR00,BANELCO,,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
ATMXCU20,BANELCO,,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
CNCTRODI,,,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
OGXC3390,,,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
OGXC3395,,,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
OGXC4000,,,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJCDVI01,TARJETAS,DUMMY,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJCOBD14,TARJETAS,NO CORRE MAS,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJDAMD02,TARJETAS,NO CORRE MAS,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJMBCD10,TARJETAS,NO COOR,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJMBO010,TARJETAS,,,CONNET DIRECT,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJMDE002,TARJETAS,,,CONNET DIRECT,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJMIJD05,TARJETAS ,PLANIFICA NO EJECUTA ,,XCOM,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJMIJ100,TARJETAS,NO EJECUTA DEL 120324,,XCOM,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJMIJ101,TARJETAS,NO EJECUTA DEL 120324,,XCOM,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJMIJ102,TARJETAS,NO CORRE MAS,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJMIJ103,TARJETAS,NO CORRE MAS,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJMIJ104,TARJETAS ,NO CORRE MAS,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJMIJ105,TARJETAS,NO CORRE MAS,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJMIJ106,TARJETAS,NO CORRE MAS,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJMONTR7,TARJETAS,VISA MONEDERO,,XCOM,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJMPGCD3,TARJETAS,DUMMY,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJMPG003,TARJETAS,COBRANZAS AJUSTES MASTER,,CONNET DIRECT,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJPROM20,TARJETAS,DADOS DE ALTA,,XCOM,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJRAXCVI,TARJETAS,TERMIANLES A VOSA,,XCOM,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJSGMD02,TARJETAS,PROM OCIONES SEGMENTADAS ,,XCOM,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJTRAMEI,TARJETAS ,EMORESAS VISA,,CONNET DIRECT ,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJTRAMEX,TARKETAS,NOIVEDADES  TJ ADHESIONES,,XCOM ,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJXCOMMA,TARJETAS,DUMMY,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJXCOMN6,TAREJTAS,REIMPRSION MASIVA DE TARJETAS,,XCOM ,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJXCOMT1,TARJETAS,DUMMY,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJXCOM01,TARJETAS,VISA MONEDERO,,XCOM Y CONNET DIRECT,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJXCOM02,TARJETAS,DEUDA NO VENCIDA,,XCOM ,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJXCOM03,TARJETAS,VISA  ,,XCOM ,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJXCOM04,TARJETAS,TARJETAS PREPAGAS VISA,,XCOM ,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJXCOM05,TARJETAS,PREGPAGAS VISA,,XCOM Y CONNET DIRECT,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJXCOM06,TARJETAS,DUMMY ,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJXCOM07,TARJETAS,TJ ADHESIONES,,XCOM Y CONNET DIRECT,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJXCOM08,TARJETAS,VISA,,XCOM  ,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJXCOM09,TARJETAS,MASTER ,,XCOM ,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJXCOM10,TARJETAS,TARJETAS ADHESIONES,,XCOM Y CONNET DIRECT,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJXCOM11,TARJETAS,CARTERA MASTERD ,,XCOM Y CONNET DIRECT,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJXCVI01,TARJETAS,AJUSTES MASTER,,CONNET DIRECT ,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJXC0014,TARJETAS,NO EJEUCTA MAS ,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TRTJDCD2,TARJETAS,DUMMY ,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TRTJDES1,TARJETAS ,NO EJECUTA  MAS ,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TRTJDES2,TARJETAS,TRASMISION DE PARA VISA,,CONNET DIRECT,,BBVAS03,,,,,,,,,,,,,,,,,,,
TRTJDES3,TARJETAS,NO EJECUTA MAS ,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TRTJFDAT,TARJETAS,TRANSMITIDOS A FIRSDATA,,XCOM ,,BBVAS03,,,,,,,,,,,,,,,,,,,
TRTJ0003,TARJETAS,DUMMY,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TRTJ0012,TARJETAS,MIGRACION MASTER PRISMA,,XCOM,,BBVAS03,,,,,,,,,,,,,,,,,,,
TRTJ0014,TARJETAS,MIGRACION MASTER PRISMA,,XCOM,,BBVAS03,,,,,,,,,,,,,,,,,,,
TRTJ0015,TARJETAS,VISA TRANSMI INTERFAZ,,XCOM Y CONNET DIRECT ,,BBVAS03,,,,,,,,,,,,,,,,,,,
TRTJ0016,TARJETAS,DUMMY ,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TRTJ0017,TARJETAS,CUIT COMERCIO FIRSTDATA,,XCOM ,,BBVAS03,,,,,,,,,,,,,,,,,,,
XCOMRODI,TARJETAS,,,CONNET DIRECT ,,BBVAS03,,,,,,,,,,,,,,,,,,,
XCOMROD0,TARJETAS,DUMMY ,,,,BBVAS03,,,,,,,,,,,,,,,,,,,